Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
AG News Full,AddRandomCharsNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,AddRandomCharsNoise,LightGBMRoberta,0.74,0.74,0.75,0.74
AG News Full,AddRandomCharsNoise,RandomForest,0.5,0.5,0.56,0.5
AG News Full,AddRandomCharsNoise,RandomForestRoberta,0.78,0.77,0.78,0.78
AG News Full,AddRandomCharsNoise,SVM,0.62,0.62,0.63,0.62
AG News Full,AddRandomCharsNoise,SVMRoberta,0.83,0.83,0.83,0.83
AG News Full,AddRandomCharsNoise,XGBoost,0.35,0.36,0.45,0.35
AG News Full,AddRandomCharsNoise,XGBoostRoberta,0.7,0.7,0.71,0.7
AG News Full,AddRandomWordsNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,AddRandomWordsNoise,LightGBMRoberta,0.77,0.77,0.77,0.77
AG News Full,AddRandomWordsNoise,RandomForest,0.54,0.54,0.57,0.54
AG News Full,AddRandomWordsNoise,RandomForestRoberta,0.8,0.8,0.8,0.8
AG News Full,AddRandomWordsNoise,SVM,0.64,0.65,0.66,0.64
AG News Full,AddRandomWordsNoise,SVMRoberta,0.83,0.83,0.83,0.83
AG News Full,AddRandomWordsNoise,XGBoost,0.38,0.38,0.43,0.38
AG News Full,AddRandomWordsNoise,XGBoostRoberta,0.72,0.72,0.72,0.72
AG News Full,DeleteRandomWordsNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,DeleteRandomWordsNoise,LightGBMRoberta,0.78,0.78,0.78,0.78
AG News Full,DeleteRandomWordsNoise,RandomForest,0.5,0.5,0.56,0.5
AG News Full,DeleteRandomWordsNoise,RandomForestRoberta,0.8,0.8,0.8,0.8
AG News Full,DeleteRandomWordsNoise,SVM,0.62,0.62,0.63,0.62
AG News Full,DeleteRandomWordsNoise,SVMRoberta,0.84,0.84,0.84,0.84
AG News Full,DeleteRandomWordsNoise,XGBoost,0.35,0.36,0.45,0.35
AG News Full,DeleteRandomWordsNoise,XGBoostRoberta,0.73,0.73,0.73,0.73
AG News Full,NoNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,NoNoise,LightGBMRoberta,0.8,0.8,0.8,0.8
AG News Full,NoNoise,RandomForest,0.54,0.54,0.57,0.54
AG News Full,NoNoise,RandomForestRoberta,0.82,0.82,0.82,0.82
AG News Full,NoNoise,SVM,0.65,0.65,0.66,0.65
AG News Full,NoNoise,SVMRoberta,0.84,0.84,0.85,0.84
AG News Full,NoNoise,XGBoost,0.38,0.38,0.43,0.38
AG News Full,NoNoise,XGBoostRoberta,0.76,0.76,0.76,0.76
AG News Full,ReplaceWithAntonymsNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,ReplaceWithAntonymsNoise,LightGBMRoberta,0.74,0.74,0.75,0.74
AG News Full,ReplaceWithAntonymsNoise,RandomForest,0.54,0.54,0.57,0.54
AG News Full,ReplaceWithAntonymsNoise,RandomForestRoberta,0.78,0.78,0.78,0.78
AG News Full,ReplaceWithAntonymsNoise,SVM,0.65,0.65,0.67,0.65
AG News Full,ReplaceWithAntonymsNoise,SVMRoberta,0.83,0.83,0.84,0.83
AG News Full,ReplaceWithAntonymsNoise,XGBoost,0.38,0.38,0.44,0.38
AG News Full,ReplaceWithAntonymsNoise,XGBoostRoberta,0.62,0.62,0.71,0.62
AG News Full,ReplaceWithSynonymsNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,ReplaceWithSynonymsNoise,LightGBMRoberta,0.74,0.73,0.75,0.74
AG News Full,ReplaceWithSynonymsNoise,RandomForest,0.53,0.53,0.56,0.53
AG News Full,ReplaceWithSynonymsNoise,RandomForestRoberta,0.78,0.78,0.78,0.78
AG News Full,ReplaceWithSynonymsNoise,SVM,0.64,0.64,0.66,0.64
AG News Full,ReplaceWithSynonymsNoise,SVMRoberta,0.83,0.83,0.84,0.83
AG News Full,ReplaceWithSynonymsNoise,XGBoost,0.37,0.38,0.43,0.37
AG News Full,ReplaceWithSynonymsNoise,XGBoostRoberta,0.62,0.61,0.71,0.62
AG News Full,ShuffleSentencesNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,ShuffleSentencesNoise,LightGBMRoberta,0.8,0.8,0.8,0.8
AG News Full,ShuffleSentencesNoise,RandomForest,0.54,0.54,0.57,0.54
AG News Full,ShuffleSentencesNoise,RandomForestRoberta,0.82,0.82,0.82,0.82
AG News Full,ShuffleSentencesNoise,SVM,0.65,0.65,0.66,0.65
AG News Full,ShuffleSentencesNoise,SVMRoberta,0.84,0.84,0.85,0.84
AG News Full,ShuffleSentencesNoise,XGBoost,0.38,0.38,0.43,0.38
AG News Full,ShuffleSentencesNoise,XGBoostRoberta,0.76,0.76,0.76,0.76
