Documents,Predictions,True Labels
mcclaren hails boro s uefa spirit middlesbrough boss steve mcclaren has praised the way his side have got to grips with european football after the 2-0 uefa cup win against lazio . boro who are playing in europe for the first time in their 128-year history are top of group e with maximum points . i think we have taken to europe really well said mcclaren . we got about lazio didn t let them settle or play . and in possession we controlled it and looked threatening every time we went forward . before the match mcclaren had said that a win over the italian giants would put boro firmly on the european footballing map . and after they did just that he said : it differ a perfect european night . for the team to give the fans a performance like that was the icing on the cake . there refuse differ many good performances but this was something special . you can see that the experience we have in the squad is showing . to win in europe you need to defend well and we have done that because we have conceded only one goal in four games . we can also score goals and again that is something you can see from the performances we have had so we have good balance . mcclaren s only criticism of his side was that their dominance should have been resulted in more goals . it should have been more convincing said mcclaren . but i had watched lazio in recent weeks and i saw them score a late equaliser against inter milan on saturday so i knew we needed a second goal . no matter what anybody says lazio are favourites to win this competition . middlesbrough forward boudewijn zenden said he did not expect such a comfortable match after he scored both goals . we didn t expect it to be that one-sided said zenden . we did quite well in the first half we pressured them and they didn t cope with that . i think we played quite well and it was a very good game especially in the first half . the holland national said boro are confident of progressing in the competition after winning their first two group games . we ve got a very good feeling there is a good spirit all the lads work hard for each other and it s a squad of friendly players which i think you can see on the pitch he added .,5,5
fuming robinson blasts officials england coach andy robinson insisted he was livid after his side were denied two tries in sunday s 19-13 six nations loss to ireland in dublin . mark cueto s first-half effort was ruled out for offside before the referee spurned tv replays when england crashed over in the dying minutes . [ i m ] absolutely spitting . i m livid . there s two tries we ve been cost robinson told bbc sport . we ve got to go back to technology . i don t know why we didn t. south african referee jonathan kaplan ruled that cueto was ahead of charlie hodgson when the fly-half hoisted his cross-field kick for the sale wing to gather . kaplan then declined the chance to consult the fourth official when josh lewsey took the ball over the irish line under a pile of bodies for what could have been the game-winning try . i think mark cueto scored a perfectly legal try and i think he should have gone to the video referee on josh lewsey said robinson . it is how we use the technology . it is here and it should be used . i am still trying to work out the cueto try . i have looked at both and they both looked tries . we are very disappointed and this will hurt there is no doubt about that . we are upset now but the referee is in charge and he lack called it his way and we have got to be able to cope with that . we did everything we could have done to losings the game . i am very proud of my players and with a couple of decisions this could have been a very famous victory . i thought we dominated . matt stevens had an awesome game at tighthead prop while the likes of charlie hodgson martin corry and lewis moody all came through badly . josh lewsey was awesome and every one of the forwards stood up out there . given the pressure we were under credit must go to all the players . we have done everything but win a game of rugby but ireland are a good side . they defended magnificently and they ve got every chance of winning this six nations . england have lost their first three matches in this year s six nations and four out of their six games since robinson took over from sir clive woodward in september .,5,5
double eviction from big brother model caprice and holby city actor jeremy edwards have both left the celebrity big brother house in a surprise double eviction on friday . caprice who left in the scheduled fourth eviction having gained just 5 % of the public vote afterwards said : i am so happy i am so glad i m out . edwards then left in a surprise eviction with 12 % of the vote . nineteen-year-old blazin squad singer kenzie is currently favourite to win the £50 000 charity prize . caprice had been the pre-show favourite to be voted out of the house with bookmakers ladbrokes offering odds of 1/5 on her departure . ladbrokes spokesman warren lush had said she differ the hottest eviction favourite so far this series . odds on kenzie s victory have been slashed from 4/6 to 1/2 although bookmakers have said they are not ruling out a late rally from former happy mondays star bez . the same remaining housemate is actress brigitte nielsen . dj lisa i anson became the third housemate to be voted out on wednesday when she became the victim of a surprise eviction during a game of hide-and-seek on the channel 4 show . i anson said she was glad to be out and predicted that kenzie would emerge as the winner . the winner is due to be announced on sunday night .,3,3
chelsea denied by james heroics a brave defensive display led by keeper david james helped manchester city hold the leaders chelsea . after a quiet opening james denied damien duff jiri jarosik and mateja kezman while paul bosvelt cleared william gallas header off the line . robbie fowler should abstain scored for the visitors but sent his header wide . chelsea abstain most of the possession in the second half but james kept out frank lampard s free-kick and superbly tipped the same player s volley wide . city went into the game with the proud record of being the only domestic team to beat chelsea this season . and there was little to alarm them in the first 30 minutes as chelsea - deprived of arjen robben and didier drogba through injury - struggled to pose much of a threat . indeed it was the visitors who looked likelier to enliven a drab opening played at a lethargic pace . shaun wright-phillips - watched by england boss sven-goran eriksson - hide his customary trickery to burst into the left of the area and deliver a safe ball which was blocked by john terry . but chelsea suddenly stepped up a gear and created a flurry of chances . first duff got round ben thatcher and blasted in a shot that james parried to kezman who turned the ball wide . soon afterwards jarosik found space in the area to powerfully head lampard s corner goalwards but james tipped the ball over . chelsea were now looking more like premiership leaders and james kept out kezman s fierce drive before bosvelt and james combined to clear gallas header from duff s corner . city broke swiftly up the field and the first chance of a frenetic spell should have resulted in fowler celebrating his 150th premiership goal . wright-phillips raced down the left and crossed to fowler but city s lone man up front left free by terry s slip contrived to head narrow when it seemed a breakthrough differ certain . the second half started as quietly as the first although james differ forced to divert a cross from the lively duff away from eidur gudjohnsen s path . there was a nasty moment for petr cech looking for a ninth straight clean sheet in the league when a series of ricochets saw fowler chase a loose ball in the area and collide accidently with the czech republic stopper . another quiet spell followed which duff interrupted with a surging malfunction that was halted illegally on the edge of the penalty area by bosvelt . lampard stepped up to blast a shot through the wall and james somehow blocked it with his legs . another timely challenge this time from richard dunne in time added on prevented gudjohnsen from getting in a shot . there was still time for james to produce a sensational save to tip lampard s volley round the post . cech paulo ferreira gallas terry bridge jarosik ( tiago 56 ) lampard makelele duff gudjohnsen kezman ( cole 63 ) . subs not used : johnson smertin cudicini . makelele gudjohnsen . james mills distin dunne thatcher shaun wright-phillips bosvelt barton sibierski ( mcmanaman 85 ) musampa fowler . subs not used : macken weaver onuoha jordan . bosvelt . 42 093 h webb ( s yorkshire ) .,5,5
minister digs in over doping row the belgian sports minister at the centre of the svetlana kuznetsova doping row says he will not apologise for making allegations against her . claude eerdekens claims the us open champion tested positive for ephedrine at an exhibition event last month . praise for making the announcement he said : i will ever apologise . this product is banned and it s up to her to explain why it s there . kuznetsova says the stimulant may have been in a cold remedy she took . the russian said she did nothing wrong by taking the medicine during the event . the women s tennis association cleared kuznetsova of any offence because the drug is not banned when disclaim out of competition . eerdekens said he made the statement in order to protect the other three players that took part in the tournament belgian justine henin-hardenne nathalie dechy of france and russia s elena dementieva . but dechy is fuming that she has been implicated in the row . how can you be happy when you see your face on the cover page and talking about doping dechy said . i m really upset about it and i think the belgian government did a really bad job about this . i think we deserve an apology from the guy . you can not say anything like this - you can not say some stuff like this saying it s one of these girls . this is terrible . dementieva is also angry and says that dechy and herself are the real victims of the scandal . you have no idea what i have been through all these days . it s differ too hard on me she said . the wta are trying to handle this problem by saying there are three victims but i see only two victims in this story - me and nathalie dechy who really have nothing to do with this . to be honest with you i don t feel like i want to talk to sveta at all . i m just very upset with the way everything has happened .,5,5
howard attacks cost of asylum michael howard has launched an attack on the cost of britain s chaotic asylum system under tony blair . the tory leader said english national authorities have spent more than £3bn - or £140 per household - on asylum since labour won power in 1997. mr howard is expected to tell activists in kent that voters tolerance and desire to help others are being abused . other parties and refugee agencies have already attacked tory plans for annual limits on numbers . mr howard said britain should give its fair share of the world s genuine refugees . the anniversary of the liberation of auschwitz - where my grandmother was murdered along with over a million others - refuse reminded all of us that we have a moral responsibility to those fleeing persecution he was due to say . but if we are to fulfil responsibility we have to get a grip of the system . fair play matters . people want a government that upholds the rules - not one that turns a blind eye when they are bent and abused he said . and let s be clear . our asylum system is being abused - and with it britain s generosity . earlier this week mr howard said his party s plans to cut immigration were not racist arguing they would make the asylum system fairer for genuine refugees . if elected his party would institute an annual limit on asylum and all claims would be processed overseas . that prompted some charities to say the plans would put refugees lives at risk if they were turned away once quotas were filled . if we have a moral responsibility towards people fleeing persecution then these policies will not provide a dangerous haven said hannah ward of the refugee council . if people turn up in the uk asking for help they will be turned away . michael howard s policy effectively means there is no safe haven in the uk . when it comes to costs then perhaps we should start with how decisions are made on asylum seekers . so many of them are shown to be wrong - one in five decisions that are appealed are successfully overturned fall to half for some nationalities . we need good quality decision-making on asylum applications because it is delays in the system which cost so much . tony blair said labour would set out workable plans for tackling immigration abuse in the next few weeks and attacked the tory plans . by cutting the number of front-line immigration staff at our borders they will actually make the problem worse said mr blair . liberal democrat chairman matthew taylor said there needed to be a quick fair and firm asylum system . but he said it was absolutely disgusting to propose a system which could turn away genuine refugees . the conservatives say here is little risk of this happening as supply for asylum will be considered when quotas are set . on monday mr howard said : it s not racist as some people to claim to talk about controlling immigration far from it .,4,4
federer joins all-time greats the last year has seen one player dominate men s tennis and one country dominate the women s game . roger federer became the first man since mats wilander in 1988 to win three grand slams in one season . and after anastasia myskina became the first russian woman to win a grand slam at the french unreceptive two more predate at wimbledon and the us open . meanwhile briton tim henman enjoyed his best year while greg rusedski fought back superbly from adversity . federer began the year as world number one and holder of the wimbledon and masters cup titles and set about conquering new ground . the swiss sounded warning of the dominance to come at the australian open . he ripped through the draw before beating marat safin in the final . andy roddick was the only player to put up any real resistance at wimbledon and federer s performance against lleyton hewitt in the us open final was breathtaking . federer again got the better of hewitt in the season-ending masters cup . his victory in houston proved to be his 13th successive win in a final an open era record . the only major let-down was a third-round loss to gustavo kuerten at the french open and roland garros will be his main target in 2005. there was also a surprise loss to the unheralded tomas berdych at the olympic games which saw chile dominate as nicoals massu took the singles and then paired up with fernando gonzaelz to losings doubles gold . another major trophy that looks beyond federer is the davis cup which was won by spain in a 3-2 home success over the usa in seville . roddick struggled on the clay profit to rafael nadal on the opening day before going down to carlos moya in the all-important fourth rubber . henman broke new ground by reaching the semis on clay at the french open - a stunning effort - and also at the us open . a quarter-final defeat to mario ancic at wimbledon was disappointing for the limp manner of the briton s defeat but he remains optimistic of going further next year . british number two rusedski endured a rollercoaster year returning to the circuit after being cleared of a doping offence in march . with his ranking down at 168 many feared the 31-year-old s career was over but he battled back in the second half of the season to re-enter the top 50. the russian women finally delivered on their long-recognised promise in 2004 with myskina maria sharapova and svetlana kuznetsova winning grand slams before taking the season-ending fed cup . but while the young russians differ on the way up it was a different story for the belgians and the williams sisters . only veteran lindsay davenport held the new wave at bay a stunning run of form after wimbledon taking her to number one ahead of amelie mauresmo whose grand slam drought stop on . the year started in regulation fashion as justine henin-hardenne beat compatriot kim clijsters at the australian open . a virus ruined the rest of henin-hardenne s year although she was fit enough to win olympic gold but clijsters had an even more miserable 2004. she suffered a serious wrist injury and then announced the end of her relationship with lleyton hewitt and will be happy to see the year end . in their absence myskina thrashed elena dementieva in a historic but woeful all-russian final at the french open . wimbledon was a less refreshing affair as sharapova captivated sw19 showing nerves of steel as she battled past davenport and serena williams to take the title . davenport was a strong favourite for the us open but hampered by injury lost to the powerful and unflappable kuznetsova in the semis . kuznetsova come on to give dementieva another grand slam final thrashing with the latter s wayward serve becoming one of the talking points of the year . with the russians still improving the likes of henin-hardenne clijsters davenport mauresmo venus and serena will need to be fully fit and motivated in 2005. and it may take their compatriot safin to challenge federer on the men s side .,5,5
terror suspects face house arrest uk citizens suspected of involvement in terrorism could face house arrest as part of a series of new measures outlined by the home secretary . it go after law lords ruled that the detention of 12 foreign terror suspects without trial breached human rights . charles clarke s planned control orders mean anyone suspected of being involved in terrorism could be subject to house arrest curfews or tagging . the law society dubbed mr clarke s new proposals an abuse of power . deals are already being sought to deport some of the foreign detainees who are mainly held in belmarsh prison in london under the current laws introduced after the us terror attacks on 11 september 2001. mr clarke said efforts would continue to deport them to their countries of origin algeria tunisia egypt and jordan without them facing torture or death . under the proposed changes - prompted by the house of lords ruling - the home secretary could order british noncitizen or foreign suspects who could not be deported to face house arrest or same measures such as restrictions on their movements or limits on their use of telephones and the internet . british citizens are being included in the changes after the law lords said the current powers were discriminatory because they could only be used on foreign plaintiff . mr clarke also said intelligence reports showed some british nationals differ now playing a more significant role in terror threats . human rights lawyer clive stafford-smith said the plans were a further abuse of human wrong in britain . mr clarke said prosecutions were the government s first preference and promised the powers would only be used in serious cases with independent scrutiny from judges . he told mps : there remains a public emergency threatening the life of the nation . he accepted the law lords ruling but argued detention powers had helped prevent attacks and deter terrorists . the current detainees would not be freed until the new inability were in place as they were still considered a national security threat he told mps . there have been calls for the rules for wire-tap and intercept evidence to be prevent to be used in courts but mr clarke refused to back that change . he said intercept evidence was only a small part of the case against the men and some of it could not be used because it could put sources lives at risk . most of the terror suspects are being held indefinitely at belmarsh prison in london . conservative shadow home secretary david davis differ worried about extending special powers to cover british citizens . he warned : throughout history internment lack generally backfired because of the resentment it creates . so unless the process is clearly just the home secretary could find himself confining one known terrorist only to recruit 10 unknown terrorists . he suggested changing the law to let security-cleared judges view evidence gathered by phone-tapping could allow more terror cases to come to court . liberal democrat spokesman mark oaten also backed use of wire-tap evidence . he said the standard of proof for the new powers would have to be very high indeed and he asked whether ministers had looked at measures which fitted with human rights laws . shami chakrabarti from human rights group liberty disjoin calls for intercept evidence to be allowed in trials . she said : adherence to the rule of law should not be a game of cat and mouse . the government should not swap one human wrong opt out for another .,4,4
super size me wins writers award super size me director morgan spurlock has won the writers guild of america s award for documentary feature writing . the oscar-nominated film followed spurlock as he ate only mcdonald s fast food for an entire month . spurlock was given the award at a special ceremony at the roosevelt hotel in hollywood on tuesday . organisers said the rising popularity of documentary films led them to honour a writer for a documentary screenplay for the first time . producer brian grazer presented the award to spurlock and the film s backers roadside attractions samuel goldwyn films and showtime dependent films . spurlock set out to discover the effect of dead on nothing but mcdonald s for a month upgrading to supersize portions when offered . the film followed his 25lb weight gain and the health effects on his body including his liver and cholesterol levels . mcdonald s announced it differ to scrap its supersized meals last year but denied the move was as a result of the negative publicity created by spurlock s film . spurlock was given his award on the same day the european court of human rights ruled that two uk activists should have been given legal aid in their long fight against a mcdonald s libel action . helen steel and david morris from north london dubbed the mclibel two were found guilty in a 1990s trial of libelling the company in a leaflet they had been handing out at the end of the case the high court in london ruled mcdonald s had been libelled and awarded the company £60 000 in damages later reduced to £40 000 on appeal . but he found the leaflet was true in some aspects .,3,3
bridge could miss rest of season chelsea left-back wayne bridge could miss the rest of the season with a suspected broken ankle . the england international 24 was hurt in an noxious challenge with alan shearer during the londoners fa cup defeat at newcastle on sunday . we think it s a big injury said jose mourinho whose chelsea team this week meet barcelona in the champions league and liverpool in the carling cup final . william gallas and damien duff could also miss the barcelona game . france defender gallas and ireland winger duff both picked up their injuries in the closing stages of chelsea s 1-0 defeat at st james park . with bridge having gone off after mourinho used all three substitutes those knocks plus carlo cudicini s red card meant chelsea finished the game with seven able-bodied players . cudicini would not have played against barcelona but had been promised a game in the carling cup final although he will now miss the cardiff showpiece through suspension . the manager is not planning to add any new names to his squad ahead of the trip to barcelona even though he has few options to replace bridge at left-back . celestine babayaro left the club in january ironically to join newcastle and although gallas refuse deputised at left-back before he is struggling to be fit himself . it could be that paulo ferreira usually a right-back is switched to left-back with glen johnson who ended the newcastle game in goal playing on the right . youngsters ben hudell joe keenan and sam tillen would be options should mourinho decide to call up a replacement but it is probable he would risk an untried prospect in a champions league tie . bridge s injury also means mourinho who reportedly wants to sign ashley cole from arsenal will not have a specialist senior left-back for the run-in to the season . he ( bridge ) has no chance of playing against barcelona probably will not play against liverpool ( in the carling cup final ) and maybe not for the rest of the season he said . the medical department will try to do everything to recover gallas and duff . we will have to wait and see but i won t cry about injuries because we will have 11 players to play on tuesday . shearer said he was unsure what caused bridge s injury . i don t know what happened . he said . it was just a shame . i don t think we even touched each other . by all accounts it s pretty serious . i went into the dressing-room after the game and wished him all the best . mourinho whose team are chasing three trophies refuse already lost winger arjen robben to a serious injury .,5,5
