Dataset,Noise,Model,ARI Score,Topics Coherence,Cosine Similarity,Reconstruction Error
20 Newsgroups Full,AddRandomCharsNoise,LDA_4,0.0,0.47,0.34,
20 Newsgroups Full,AddRandomCharsNoise,LSI_4,0.01,0.6,0.64,
20 Newsgroups Full,AddRandomCharsNoise,NMF_4,0.06,0.74,0.55,62.55543472936104
20 Newsgroups Full,AddRandomWordsNoise,LDA_4,0.0,0.4,0.98,
20 Newsgroups Full,AddRandomWordsNoise,LSI_4,0.0,0.59,0.66,
20 Newsgroups Full,AddRandomWordsNoise,NMF_4,0.07,0.73,0.55,62.45296137071105
20 Newsgroups Full,DeleteRandomWordsNoise,LDA_4,0.0,0.5,0.95,
20 Newsgroups Full,DeleteRandomWordsNoise,LSI_4,0.0,0.56,0.63,
20 Newsgroups Full,DeleteRandomWordsNoise,NMF_4,0.06,0.72,0.55,62.27656092081427
20 Newsgroups Full,NoNoise,LDA_4,0.0,0.37,0.94,
20 Newsgroups Full,NoNoise,LSI_4,0.01,0.57,0.64,
20 Newsgroups Full,NoNoise,NMF_4,0.09,0.7,0.51,62.228058041941715
20 Newsgroups Full,ReplaceWithAntonymsNoise,LDA_4,0.0,0.58,0.94,
20 Newsgroups Full,ReplaceWithAntonymsNoise,LSI_4,0.01,0.59,0.64,
20 Newsgroups Full,ReplaceWithAntonymsNoise,NMF_4,0.09,0.75,0.52,62.24423763144226
20 Newsgroups Full,ReplaceWithSynonymsNoise,LDA_4,0.0,0.55,0.9,
20 Newsgroups Full,ReplaceWithSynonymsNoise,LSI_4,0.0,0.58,0.64,
20 Newsgroups Full,ReplaceWithSynonymsNoise,NMF_4,0.06,0.76,0.55,62.26957549304338
20 Newsgroups Full,ShuffleSentencesNoise,LDA_4,0.06,0.45,0.58,
20 Newsgroups Full,ShuffleSentencesNoise,LSI_4,0.01,0.57,0.64,
20 Newsgroups Full,ShuffleSentencesNoise,NMF_4,0.09,0.7,0.51,62.22805252881047
AG News Full,AddRandomCharsNoise,LDA_4,0.0,0.32,0.35,
AG News Full,AddRandomCharsNoise,LSI_4,0.01,0.57,0.67,
AG News Full,AddRandomCharsNoise,NMF_4,0.22,0.66,0.59,86.62728245494098
AG News Full,AddRandomWordsNoise,LDA_4,0.0,0.38,0.35,
AG News Full,AddRandomWordsNoise,LSI_4,0.01,0.62,0.62,
AG News Full,AddRandomWordsNoise,NMF_4,0.18,0.68,0.63,86.55319557320027
AG News Full,DeleteRandomWordsNoise,LDA_4,0.18,0.54,0.44,
AG News Full,DeleteRandomWordsNoise,LSI_4,0.01,0.56,0.57,
AG News Full,DeleteRandomWordsNoise,NMF_4,0.35,0.69,0.47,86.39921637517219
AG News Full,NoNoise,LDA_4,0.1,0.55,0.43,
AG News Full,NoNoise,LSI_4,0.11,0.63,0.56,
AG News Full,NoNoise,NMF_4,0.41,0.72,0.47,86.28456028949256
AG News Full,ReplaceWithAntonymsNoise,LDA_4,0.24,0.51,0.5,
AG News Full,ReplaceWithAntonymsNoise,LSI_4,0.03,0.62,0.66,
AG News Full,ReplaceWithAntonymsNoise,NMF_4,0.21,0.7,0.6,86.18213701666797
AG News Full,ReplaceWithSynonymsNoise,LDA_4,0.05,0.47,0.41,
AG News Full,ReplaceWithSynonymsNoise,LSI_4,0.03,0.6,0.67,
AG News Full,ReplaceWithSynonymsNoise,NMF_4,0.21,0.7,0.61,86.22056601968433
AG News Full,ShuffleSentencesNoise,LDA_4,0.1,0.55,0.43,
AG News Full,ShuffleSentencesNoise,LSI_4,0.11,0.63,0.56,
AG News Full,ShuffleSentencesNoise,NMF_4,0.41,0.72,0.47,86.28456028949256
BBC News Full,AddRandomCharsNoise,LDA_4,-0.0,0.37,1.0,
BBC News Full,AddRandomCharsNoise,LSI_4,0.02,0.63,0.59,
BBC News Full,AddRandomCharsNoise,NMF_4,0.57,0.78,0.45,36.45723472773182
BBC News Full,AddRandomWordsNoise,LDA_4,0.0,0.65,1.0,
BBC News Full,AddRandomWordsNoise,LSI_4,0.02,0.55,0.61,
BBC News Full,AddRandomWordsNoise,NMF_4,0.61,0.78,0.45,36.30128622577749
BBC News Full,DeleteRandomWordsNoise,LDA_4,0.07,0.46,0.83,
BBC News Full,DeleteRandomWordsNoise,LSI_4,0.03,0.61,0.58,
BBC News Full,DeleteRandomWordsNoise,NMF_4,0.63,0.76,0.44,36.14470195641576
BBC News Full,NoNoise,LDA_4,0.05,0.38,0.79,
BBC News Full,NoNoise,LSI_4,0.02,0.6,0.58,
BBC News Full,NoNoise,NMF_4,0.57,0.75,0.45,36.04768682273319
BBC News Full,ReplaceWithAntonymsNoise,LDA_4,0.01,0.44,0.94,
BBC News Full,ReplaceWithAntonymsNoise,LSI_4,0.02,0.61,0.59,
BBC News Full,ReplaceWithAntonymsNoise,NMF_4,0.61,0.75,0.44,36.05656055738295
BBC News Full,ReplaceWithSynonymsNoise,LDA_4,-0.0,0.31,1.0,
BBC News Full,ReplaceWithSynonymsNoise,LSI_4,0.02,0.62,0.59,
BBC News Full,ReplaceWithSynonymsNoise,NMF_4,0.56,0.73,0.46,36.11123358083346
BBC News Full,ShuffleSentencesNoise,LDA_4,0.05,0.39,0.79,
BBC News Full,ShuffleSentencesNoise,LSI_4,0.02,0.61,0.58,
BBC News Full,ShuffleSentencesNoise,NMF_4,0.57,0.76,0.45,36.0476868227332
